name,borough_name,website,borough_code,address1,address2,address3,os_addressbase_uprn,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
Domobaal,Camden,http://www.domobaal.com/#,E09000007,3 John Street,NA,NA,10091862142,Holborn and Covent Garden,E05000138,530895.0001221001,181983.00012210011,-0.11312214157269909,51.5210958554662,11/27/2022
Eagle Gallery,Islington,http://www.emmahilleagle.com/#,E09000019,159 Farringdon Road,NA,NA,5300033028,Clerkenwell,E05000370,531231.0001221001,182276.00012210011,-0.10817231883974543,51.52365123141501,11/27/2022
Work,Islington,http://workgallery.co.uk/#,E09000019,308 Essex Road,NA,NA,10091003649,Canonbury,E05000369,532453.0001221001,184386.00012210011,-0.08977259046793404,51.54232944454154,11/27/2022
Usurp,Harrow,http://www.usurp.org.uk/exhibitions/#,E09000015,140 Vaughan Road,NA,NA,100021292207,West Harrow,E05000305,514472.9600829929,187977.3900756985,-0.347784663372473,51.57854553008754,11/27/2022
Catto Gallery,Camden,http://www.cattogallery.co.uk/#,E09000007,100 Heath Street,NA,NA,5010317,Hampstead Town,E05000135,526370.0001221001,185974.00012210011,-0.17688165030211767,51.55799727664291,11/27/2022
Freespace Gallery,Camden,http://freespacegallery.org/#,E09000007,2 Bartholomew Road,NA,NA,5021000,Cantelowes,E05000131,529075.0001221001,184696.00012210011,-0.13834809402799206,51.54589843157466,11/27/2022
Orange Dot Gallery,Camden,http://www.orangedotgallery.co.uk/#,E09000007,54 Tavistock Place,NA,NA,5030299,Bloomsbury,E05000129,530168.0001221001,182414.00012210011,-0.12343666214499839,51.52513757373208,11/27/2022
Lawrence Alkin Gallery,Camden,http://www.lawrencealkingallery.com/#,E09000007,42 New Compton Street,NA,NA,5066491,Holborn and Covent Garden,E05000138,530017.0001221001,181273.00012210011,-0.12603336584479355,51.51491744327688,11/27/2022
University of the Arts London Gallery,Camden,http://www.arts.ac.uk/gallery.htm#,E09000007,272 High Holborn,NA,NA,5154466,Holborn and Covent Garden,E05000138,530791.0001221001,181553.00012210011,-0.11478007113089457,51.51725528186843,11/27/2022
Gallery K,Camden,http://www.gallery-k.co.uk/#,E09000007,101-103 Heath Street,NA,NA,5082905,Hampstead Town,E05000135,526359.0001221001,186047.00012210011,-0.1770140191677395,51.55865585524279,11/27/2022
Austin Desmond Fine Art,Camden,http://austindesmond.com/#,E09000007,Pied Bull Yard ,68⁄69 Great Russell Street,NA,5083316,Holborn and Covent Garden,E05000138,530234.0001221001,181653.00012210011,-0.12276705654847686,51.518282758980185,11/27/2022
Brunei Gallery,Camden,http://www.soas.ac.uk/gallery/#,E09000007,SOAS,Thornhaugh Street,NA,5086881,Bloomsbury,E05000129,529885.0001221001,182040.00012210011,-0.12765208427876326,51.52184135788905,11/27/2022
The October Gallery,Camden,http://www.octobergallery.co.uk/#,E09000007,24 Old Gloucester Street,NA,NA,5087208,Holborn and Covent Garden,E05000138,530412.0001221001,181869.00012210011,-0.1201228442265238,51.52018301360577,11/27/2022
Rebecca Hossack Gallery 2,Camden,http://www.richard-green.com/#,E09000007,"28 Charlotte Street,",NA,NA,5087275,Bloomsbury,E05000129,529497.0001221001,181651.00012210011,-0.13338505419017377,51.51843425271089,11/27/2022
Rebecca Hossack Gallery 1,Camden,http://www.rebeccahossack.com/#,E09000007,2a Conway Street,NA,NA,5087297,Bloomsbury,E05000129,529172.0001221001,181988.00012210011,-0.13794349613765736,51.52153754226522,11/27/2022
The Framers Gallery,Camden,http://www.theframersgallery.co.uk/#,E09000007,36 Windmill Street,NA,NA,5087378,Bloomsbury,E05000129,529553.0001221001,181648.00012210011,-0.13257941483817628,51.518394446447225,11/27/2022
Beside the Wave,Camden,http://www.beside-the-wave.co.uk/#,E09000007,41 Chalcot Road,NA,NA,5087431,Camden Town with Primrose Hill,E05000130,528105.0001221001,183978.00012210011,-0.1525919870830447,51.53966629219459,11/27/2022
Woolff Gallery,Camden,http://www.woolffgallery.co.uk/#,E09000007,89 Charlotte St,NA,NA,5087726,Bloomsbury,E05000129,529347.0001221001,181817.00012210011,-0.1354850327878919,51.51996058691514,11/27/2022
Lahd Gallery,Camden,http://www.lahdgallery.com/#,E09000007,92 Heath Street,NA,NA,5087751,Hampstead Town,E05000135,526368.0001221001,185942.00012210011,-0.17692199112178644,51.5577101132048,11/27/2022
The Cob Gallery,Camden,http://www.cobgallery.com/#,E09000007,205 Royal College Street,NA,NA,5087949,Camden Town with Primrose Hill,E05000130,529222.0001221001,184116.00012210011,-0.1364421334895268,51.5406519294111,11/27/2022
Edge of Arabia,Camden,http://edgeofarabia.com/#,E09000007,5 Southampton Place,NA,NA,5088047,Holborn and Covent Garden,E05000138,530425.0001221001,181584.00012210011,-0.12004105725416073,51.51761853608727,11/27/2022
Hanmi Gallery,Camden,http://www.hanmigallery.co.uk/#,E09000007,30 Maple Street,NA,NA,5088144,Bloomsbury,E05000129,529212.0001221001,182006.00012210011,-0.13736060870916686,51.521690170058086,11/27/2022
Gagosian Gallery 1,Camden,http://www.gagosian.com/#,E09000007,6-24 Brittania Street,NA,NA,5088316,King's Cross,E05000141,530642.0001221001,182922.00012210011,-0.11641876879404396,51.52959380292217,11/27/2022
L. Ron Hubbard’s Fitzroy House,Camden,http://www.fitzroyhouse.org/#,E09000007,37 Fitzroy Street,NA,NA,5088512,Bloomsbury,E05000129,529194.0001221001,182039.00012210011,-0.13760783558744277,51.521990883152284,11/27/2022
Novelty Automation,Camden,http://www.novelty-automation.com/#,E09000007,1A Princeton Street,NA,NA,5105749,Holborn and Covent Garden,E05000138,530748.0001221001,181763.00012210011,-0.11532158690692783,51.51915263597547,11/27/2022
Charlie Dutton Gallery,Camden,http://www.charlieduttongallery.com/#,E09000007,1a Princeton Street,NA,NA,5105749,Holborn and Covent Garden,E05000138,530748.0001221001,181763.00012210011,-0.11532158690692783,51.51915263597547,11/27/2022
Simon Oldfield,Camden,http://simonoldfield.com/#,E09000007,Bloomsbury Square,NA,NA,5106153,Holborn and Covent Garden,E05000138,530299.0001221001,181629.00012210011,-0.12183954306433503,51.5180520630542,11/27/2022
The Gallery at 94,Camden,http://www.galleryat94.com/#,E09000007,94 Cleveland Street,NA,NA,5109564,Bloomsbury,E05000129,529057.0001221001,182047.00012210011,-0.13957870341670026,51.52209411198271,11/27/2022
Tristan Hoare,Camden,http://www.tristanhoare.co.uk/#,E09000007,6 Fitzroy Square,NA,NA,5113050,Bloomsbury,E05000129,529177.0001221001,182145.00012210011,-0.13781388869143038,51.52294747043692,11/27/2022
Hardy Tree Gallery,Camden,http://hardytreegallery.com/#,E09000007,119 Pancras Road,NA,NA,5135046,St. Pancras and Somers Town,E05000143,529878.0001221001,183272.00012210011,-0.1272985753793221,51.53291576311641,11/27/2022
University College London Museums,Camden,http://www.ucl.ac.uk/museums/#,E09000007,Gower Street,NA,NA,5157423,Bloomsbury,E05000129,529548.0001221001,182275.00012210011,-0.13242087849398657,51.52403087727448,11/27/2022
Contemporary Applied Arts,Camden,http://www.caa.org.uk/#,E09000007,2 Percy Street,NA,NA,5159812,Bloomsbury,E05000129,529566.0001221001,181538.00012210011,-0.13243258375336472,51.517402817420084,11/27/2022
Architectural Association,Camden,http://www.aaschool.ac.uk/PUBLIC/WHATSON/exhibitions.php#,E09000007,36 Bedford Square,NA,NA,5176539,Bloomsbury,E05000129,529797.0001221001,181578.00012210011,-0.12909011780971588,51.517709284604244,11/27/2022
The Crypt Gallery,Camden,http://cryptgallery.org.uk/#,E09000007,St Pancras Church,Euston Road,NA,5188543,King's Cross,E05000141,529807.0001221001,182564.00012210011,-0.12858273318652863,51.52656883177426,11/27/2022
CubeFuture,Tower Hamlets,http://www.cubefuture.com/#,E09000030,33 Fournier Street,NA,NA,6001683,Spitalfields & Banglatown,E05009333,533818.0001221001,181808.00012210011,-0.07107838351229062,51.51883798985443,11/27/2022
Eleven Spitalfields,Tower Hamlets,http://www.elevenspitalfields.com/#,E09000030,11 Princelet Street,NA,NA,6001684,Spitalfields & Banglatown,E05009333,533803.0001221001,181864.00012210011,-0.07127320297648504,51.51934483700476,11/27/2022
Leyden Gallery,Tower Hamlets,http://www.leydengallery.com/#,E09000030,9/9a Leyden Street,NA,NA,6001837,Spitalfields & Banglatown,E05009333,533578.0001221001,181529.00012210011,-0.07464152940295812,51.516387321729994,11/27/2022
Brick Lane Gallery,Tower Hamlets,http://www.thebricklanegallery.com/#,E09000030,216 Brick Lane,NA,NA,6002804,Weavers,E05009335,533891.0001221001,182381.00012210011,-0.06980899237465095,51.52397044966269,11/27/2022
Espacio Gallery,Tower Hamlets,http://www.espaciogallery.com/#,E09000030,159 Bethnal Green Road,NA,NA,6005162,Weavers,E05009335,533948.0001221001,182508.00012210011,-0.06893947782928478,51.525098325496224,11/27/2022
Whitechapel Gallery,Tower Hamlets,http://www.whitechapel.org/#,E09000030,77-82 Whitechapel High Street,NA,NA,6011122,Spitalfields & Banglatown,E05009333,533987.0001221001,181459.00012210011,-0.06877652199914525,51.51566132969674,11/27/2022
The Mews Project Space,Tower Hamlets,http://the-mews-about.blogspot.co.uk/#,E09000030,15c Osborn Street,NA,NA,6015759,Spitalfields & Banglatown,E05009333,534006.0001221001,181488.00012210011,-0.06849180502799462,51.51591745593464,11/27/2022
Stolenspace Gallery,Tower Hamlets,https://www.stolenspace.com/#,E09000030,"17 Osborn St,",NA,NA,6015771,Spitalfields & Banglatown,E05009333,534002.0001221001,181493.00012210011,-0.06854752289717148,51.515963341775205,11/27/2022
Maureen Paley,Tower Hamlets,http://www.maureenpaley.com/#,E09000030,21 Herald Street,NA,NA,6015931,St. Peter's,E05009331,534957.9201049954,182495.3500976935,-0.054393816886146154,51.524744153072696,11/27/2022
Four Corners Gallery,Tower Hamlets,http://www.fourcornersfilm.co.uk/gallery#,E09000030,121 Roman Road,NA,NA,6039056,Bethnal Green,E05009317,535432.0501098931,182913.16009519994,-0.04740216859274455,51.52838558983192,11/27/2022
Arebyte,Tower Hamlets,http://www.arebyte.com/#,E09000030,Unit 4,49 White Post Lane,NA,6077533,Bow East,E05009319,537158.0001221001,184516.00012210011,-0.02190952089508721,51.542373797270294,11/27/2022
Proof London,Tower Hamlets,http://prooflondon.com/#,E09000030,26 Cheshire Street,NA,NA,6089640,Weavers,E05009335,533963.9600829929,182268.26007079333,-0.06880071044923837,51.52293990964904,11/27/2022
Vilma Gold,Tower Hamlets,http://vilmagold.com/#,E09000030,6 Minerva Street,NA,NA,6143359,St. Peter's,E05009331,534681.0001221001,183194.00012210011,-0.05811633989295439,51.531089246881265,11/27/2022
Modern Art 2,Tower Hamlets,http://www.modernart.net/#,E09000030,50-58 Vyner Street,NA,NA,6146632,St. Peter's,E05009331,535015.0001221001,183539.00012210011,-0.053171277632224,51.53411006887645,11/27/2022
Chisenhale Gallery,Tower Hamlets,http://www.chisenhale.org.uk/#,E09000030,64 Chisenhale Road,NA,NA,6146768,Bow West,E05009320,536057.4301147982,183395.04010009766,-0.03820519400578466,51.53256597028292,11/27/2022
Forman's Smokehouse Gallery,Tower Hamlets,http://smokehousegallery.org/#,E09000030,Stour Road,Fish Island,NA,6151026,Bow East,E05009319,537327.120117195,184158.01007079333,-0.01961174556490397,51.53911538471839,11/27/2022
The Alexander Miles Gallery,Tower Hamlets,http://www.thealexandermilesgallery.com/,E09000030,"Unit K, The Ivory House",St.Katharine Docks,NA,6155400,St. Katharine's & Wapping,E05009330,533954.0001221001,180485.00012210011,-0.06962201284443975,51.506915448464056,11/27/2022
Calvert 22,Tower Hamlets,http://calvert22.org/#,E09000030,22 Calvert Avenue,NA,NA,6159644,Weavers,E05009335,533550.8400878981,182550.37011719495,-0.07464558405501236,51.52557319898339,11/27/2022
Breese Little,Tower Hamlets,http://www.breeselittle.com/#,E09000030,Unit 1,249-253 Cambridge Heath Road,NA,6161973,St. Peter's,E05009331,534986.2901000977,182549.24011229724,-0.05396442457929886,51.52522169606039,11/27/2022
Public Exhibitions,Tower Hamlets,http://publicexhibitions.biz/#,E09000030,"Black Gates,",Hassard Street,NA,6178041,Weavers,E05009335,533810.7200927958,183065.84008789808,-0.07070540600129996,51.53014438548626,11/27/2022
Union Gallery,Tower Hamlets,http://www.union-gallery.com/#,E09000030,94 Teesdale Street,NA,NA,6178788,St. Peter's,E05009331,534574.1500854939,182992.5601195991,-0.05973298351893742,51.52930432704981,11/27/2022
Cell Project Space,Tower Hamlets,http://www.cellprojects.org/#,E09000030,258 Cambridge Heath Road,NA,NA,6180728,St. Peter's,E05009331,534891.0601195991,183386.59008789808,-0.05501570144038167,51.532769950912936,11/27/2022
Unit 9,Tower Hamlets,http://www.unit9.london/#,E09000030,The Huntingdon Estate,Ebor St / Bethnal Green Rd,NA,6210892,Weavers,E05009335,533653.0001221001,182330.00012210011,-0.07325729518658558,51.52356847709463,11/27/2022
Raven Row,Tower Hamlets,http://www.ravenrow.org/#,E09000030,56 Artillery Lane,NA,NA,6653355,Spitalfields & Banglatown,E05009333,533531.0001221001,181668.00012210011,-0.07526589104195985,51.51764768419692,11/27/2022
Pitzhanger Manor House & Gallery,Ealing,http://www.pitzhanger.org.uk/#,E09000009,Walpole Park,Mattock Lane,NA,12141314,Walpole,E05000192,517576.0001221001,180467.00012210011,-0.30552857075153844,51.51039955309848,11/27/2022
Studio 106,Hammersmith and Fulham,http://www.studio106artgallery.org/#,E09000013,106 Dawes Road,NA,NA,34055693,Fulham Broadway,E05000254,524812.0001221001,177256.00012210011,-0.20243496984839404,51.479986497443896,11/27/2022
Louise T Blouin Institute,Hammersmith and Fulham,http://www.ltbfoundation.org/#,E09000013,3 Olaf Street,NA,NA,34115265,Shepherd's Bush Green,E05000263,523777.0001221001,180523.00012210011,-0.2161873061013709,51.50957827714069,11/27/2022
Bhavan Art Gallery,Hammersmith and Fulham,http://www.bhavan.net/art-gallery#,E09000013,4a Castletown Road,NA,NA,34140084,North End,E05000258,524576.0001221001,178281.00012210011,-0.2054703932159304,51.489251352478554,11/27/2022
Hidde van Seggelen Gallery,Hammersmith and Fulham,http://www.hiddevanseggelen.com/#,E09000013,2 Michael Road,NA,NA,34144768,Sands End,E05000262,525899.0001221001,176959.00012210011,-0.1868940715206448,51.477076110318386,11/27/2022
The Cynthia Corbett Gallery,Merton,http://www.thecynthiacorbettgallery.com/#,E09000024,15 Claremont Lodge,NA,NA,48022286,Raynes Park,E05000469,523684.0001221001,169998.00012210011,-0.22120956917731563,51.41499764802505,11/27/2022
Bank of England Museum,City and County of the City of London,http://www.bankofengland.co.uk/education/Pages/museum/visiting/default.aspx#,E09000001,Bartholomew Lane,NA,NA,95511162,Walbrook,E05009312,532790.0001221001,181212.00012210011,-0.08611216324620276,51.51372410896053,11/27/2022
Carter Lane Gallery,City and County of the City of London,http://www.carterlanegallery.com/#,E09000001,49 Carter Lane,NA,NA,95514285,Castle Baynard,E05009297,531915.0001221001,181045.00012210011,-0.09877845272173807,51.51242821159213,11/27/2022
Pumphouse Gallery,Wandsworth,http://pumphousegallery.org.uk/#,E09000032,Battersea Park,NA,NA,121032970,Queenstown,E05000620,528234.0001221001,177174.00012210011,-0.15320764612878962,51.47848392672181,11/27/2022
Brent Artists Resource,Brent,http://www.brentartistsresource.org.uk/#,E09000005,4⁄5 Queen’s Parade,NA,NA,202054057,Willesden Green,E05000105,523257.0001221001,184692.00012210011,-0.2222181595873014,51.547163500729425,11/27/2022
Crane Kalman,Kensington and Chelsea,http://cranekalman.com/#,E09000020,178 Brompton Road,NA,NA,217007694,Brompton & Hans Town,E05009389,527312.0001221001,179262.00012210011,-0.16572557868316523,51.4974589913596,11/27/2022
Hollywood Road Gallery,Kensington and Chelsea,http://www.hollywoodroadgallery.com/#,E09000020,12 Hollywood Road,NA,NA,217040769,Redcliffe,E05009402,526138.0001221001,177905.00012210011,-0.18311608625608153,51.48552551810924,11/27/2022
The Rowley Gallery,Kensington and Chelsea,http://www.rowleygallery.co.uk/#,E09000020,115 Kensington Church Street,NA,NA,217043176,Campden,E05009390,525381.0001221001,180194.00012210011,-0.1932005422484698,51.50626751089039,11/27/2022
Japanese Gallery,Kensington and Chelsea,http://www.japanese-gallery.com/#,E09000020,66D Kensington Church St,NA,NA,217043283,Campden,E05009390,525454.0001221001,180034.00012210011,-0.19220606731838272,51.50481322380293,11/27/2022
Northcote Gallery Chelsea,Kensington and Chelsea,http://www.northcotegallery.com/#,E09000020,253 King’s Road,NA,NA,217046439,Chelsea Riverside,E05009391,527019.5601195991,177927.90008549392,-0.1704168490735079,51.48553399220532,11/27/2022
Museum of Brands,Kensington and Chelsea,http://www.museumofbrands.com/#,E09000020,111-117 Lancaster Road,NA,NA,217050374,Notting Dale,E05009399,524222.0001221001,181233.00012210011,-0.20952731435654248,51.51586214968469,11/27/2022
James Harvey British Art,Kensington and Chelsea,http://www.jhba.co.uk/#,E09000020,15 Langton Street,NA,NA,217051631,Stanley,E05009405,526410.0001221001,177502.00012210011,-0.17934463415026414,51.48184261458816,11/27/2022
Doyle Devere,Kensington and Chelsea,http://www.doyledevere.co.uk/#,E09000020,30 Ledbury Road,NA,NA,217052558,Pembridge,E05009400,525083.0001221001,180976.00012210011,-0.19721510002100648,51.51336220680495,11/27/2022
The Orangery,Kensington and Chelsea,http://www.rbkc.gov.uk/subsites/museums/theorangery.aspx#,E09000020,Holland Park,NA,NA,217064477,Campden,E05009390,525868.0001221001,180183.00012210011,-0.1861903441582244,51.50606036295011,11/27/2022
Tryon St,Kensington and Chelsea,http://www.tryonst.co.uk/#,E09000020,7-9 Tryon Street,NA,NA,217087920,Royal Hospital,E05009403,527637.0001221001,178420.00012210011,-0.16135024091341837,51.48981789329163,11/27/2022
Lacey Contemporary,Kensington and Chelsea,http://www.laceycontemporarygallery.co.uk/#,E09000020,8 Clarendon Cross,NA,NA,217103015,Notting Dale,E05009399,524302.0001221001,180581.00012210011,-0.2086047848542392,51.50998431631176,11/27/2022
The Dot Project,Kensington and Chelsea,http://www.thedotproject.com/#,E09000020,94 Fulham Road,NA,NA,217103153,Courtfield,E05009393,526778.0001221001,178339.00012210011,-0.1737467099357595,51.48928315410843,11/27/2022
Offer Waterman & Co,Kensington and Chelsea,http://www.waterman.co.uk/#,E09000020,11 Langton Street,NA,NA,217103621,Stanley,E05009405,526417.0001221001,177495.00012210011,-0.17924637565079424,51.48177813385481,11/27/2022
Cadogan Contemporary,Kensington and Chelsea,http://www.cadogancontemporary.com/#,E09000020,87 Old Brompton Road,NA,NA,217103741,Courtfield,E05009393,526661.0001221001,178639.00012210011,-0.17532351902573062,51.492005766101194,11/27/2022
The Muse,Kensington and Chelsea,http://themuseat269.com/#,E09000020,269 Portobello Rd,NA,NA,217103948,Colville,E05009392,524513.0001221001,181414.00012210011,-0.20527124336270106,51.51742491369059,11/27/2022
Medici Gallery (south Kensington),Kensington and Chelsea,http://www.medicigallery.co.uk/c/183/Contact,E09000020,26 Thurloe Street,NA,NA,217104170,Brompton & Hans Town,E05009389,526885.0001221001,178842.00012210011,-0.17202534722222998,51.49378008324027,11/27/2022
GGGallery,Kensington and Chelsea,http://www.gggallery.co.uk/#,E09000020,15b Blenheim Crescent,NA,NA,217106096,Colville,E05009392,524601.0001221001,181162.00012210011,-0.20409258752616868,51.515140514967236,11/27/2022
Richard Young Gallery,Kensington and Chelsea,http://www.richardyounggallery.co.uk/#,E09000020,4 Holland Street,NA,NA,217106179,Campden,E05009390,525574.4301147982,179813.04010009766,-0.190550282889605,51.50280048067015,11/27/2022
Hackelbury,Kensington and Chelsea,http://www.hackelbury.co.uk/#,E09000020,4 Launceston Place,NA,NA,217106588,Queen's Gate,E05009401,526057.0001221001,179349.00012210011,-0.18376634660807697,51.498522251876686,11/27/2022
Richard Green 2,City of Westminster,http://www.richard-green.com/#,E09000033,33 New Bond Street,NA,NA,10033538913,West End,E05000649,528916.6000976935,180835.50012210011,-0.1420447126817099,51.511237525402855,11/27/2022
The Foundry Gallery,Kensington and Chelsea,http://www.thefoundrygallery.org/#,E09000020,39 Old Church Street,NA,NA,217106994,Chelsea Riverside,E05009391,527001.0001221001,177743.00012210011,-0.1707505564830708,51.48387629093848,11/27/2022
The Little Black Gallery,Kensington and Chelsea,http://www.thelittleblackgallery.com/#,E09000020,13A Park Walk,NA,NA,217107061,Stanley,E05009405,526476.0001221001,177900.00012210011,-0.1782519896397857,51.485405074488,11/27/2022
Saatchi Gallery,Kensington and Chelsea,http://www.saatchi-gallery.co.uk/#,E09000020,Duke of York's HQ,King's Road,NA,217110596,Royal Hospital,E05009403,527930.0001221001,178458.00012210011,-0.15711805784642063,51.490093205736024,11/27/2022
Graffik Gallery,Kensington and Chelsea,http://graffikgallery.com/#,E09000020,284 Portobello Road,NA,NA,217113237,Golborne,E05009396,524469.0001221001,181571.00012210011,-0.20584966332452415,51.5188457387496,11/27/2022
Flying Colours Gallery,Kensington and Chelsea,http://www.flyingcoloursgallery.com/#,E09000020,6 Burnsall Street,NA,NA,217115299,Stanley,E05009405,527415.0001221001,178246.00012210011,-0.16460926741564677,51.488304075170824,11/27/2022
Michael Hoppen Gallery,Kensington and Chelsea,http://www.michaelhoppengallery.com/#,E09000020,3 Jubilee Place,NA,NA,217120296,Stanley,E05009405,527426.0001221001,178263.00012210011,-0.16444476437646816,51.48845439044592,11/27/2022
Dreamspace Gallery,Islington,https://adremgroup.com/dreamspace-gallery/#,E09000019,3 Dufferin Street,NA,NA,5300028758,Bunhill,E05000367,532439.0001221001,182132.00012210011,-0.09082226978678988,51.52207499889632,11/27/2022
Bloomberg Space,Islington,http://www.bloombergspace.com/#,E09000019,50 Finsbury Square,NA,NA,5300033404,Bunhill,E05000367,532812.0001221001,181854.00012210011,-0.08555330502467778,51.5194888845963,11/27/2022
Arcade,Islington,http://arcadefinearts.com/#,E09000019,87 Lever Street,NA,NA,5300056285,Bunhill,E05000367,532148.0001221001,182617.00012210011,-0.09483273018680012,51.52650210727838,11/27/2022
Sway Gallery,Islington,http://www.sway-gallery.com/#,E09000019,70-72 Old Street,NA,NA,5300069554,Bunhill,E05000367,532242.0001221001,182311.00012210011,-0.0935932370986991,51.523729927834914,11/27/2022
Islington Arts Factory,Islington,http://www.islingtonartsfactory.org/#,E09000019,2 Parkhurst Rd,NA,NA,5300075947,Holloway,E05000375,530237.0001221001,185595.00012210011,-0.12126529495189677,51.5537112525942,11/27/2022
James Freeman Gallery,Islington,http://www.sesameart.com/#,E09000019,354 Upper Street,NA,NA,5300095173,St. Peter's,E05000380,531565.0001221001,183447.00012210011,-0.10292269841256453,51.53409790726736,11/27/2022
Curious Duke Gallery,Islington,http://curiousdukegallery.com/#,E09000019,173 Whitecross Street,NA,NA,5300102398,Bunhill,E05000367,532358.0001221001,182252.00012210011,-0.09194414235573631,51.52317248787824,11/27/2022
Space Station 65,Lambeth,http://spacestationsixtyfive.com/#,E09000022,373 Kennington Road,NA,NA,10000445110,Prince's,E05000427,531269.0001221001,178089.00012210011,-0.10918349357193413,51.4860113409195,11/27/2022
CGP London,Southwark,http://cgplondon.org/#,E09000028,1 Park Approach,Southwark Park,NA,10000811263,Rotherhithe,E05011112,535194.0001221001,179040.00012210011,-0.05231758823437974,51.493633448578684,11/27/2022
Purdy Hicks,Southwark,http://www.purdyhicks.com/#,E09000028,65 Hopton Street,NA,NA,10000811558,Borough & Bankside,E05011095,531816.0001221001,180434.00012210011,-0.1004329075415528,51.506959931776564,11/27/2022
Bethlem Gallery,Bromley,http://bethlemgallery.com/#,E09000006,Bethlem Royal Hospital,Monks Orchard Road,NA,10003615210,Kelsey and Eden Park,E05000120,537211.0001221001,166495.00012210011,-0.02814025538515905,51.380402272119106,11/27/2022
Sprout Community Arts,Wandsworth,http://www.sproutarts.com/#,E09000032,74 Moyser Road,NA,NA,10008157629,Furzedown,E05000615,528915.0001221001,171075.00012210011,-0.14562839355715454,51.42351213665694,11/27/2022
Flowers Gallery East,Hackney,http://www.flowersgallery.com/#,E09000012,82 Kingsland Road,NA,NA,10008242588,Haggerston,E05009375,533477.0001221001,182945.00012210011,-0.07555989180650395,51.52913735256938,11/27/2022
Parasol unit,Hackney,http://www.parasol-unit.org/#,E09000012,14 Wharf Road,NA,NA,10008244219,Hoxton West,E05009378,532235.9500731975,182993.68011479825,-0.0934240709828386,51.52986691977714,11/27/2022
Five Years,Hackney,http://www.fiveyears.org.uk/#,E09000012,"Unit 66, Regent Studios",8 Andrews Road,NA,10008244601,London Fields,E05009381,534634.0001221001,183627.00012210011,-0.058627996292510684,51.53499195460402,11/27/2022
Rocket Gallery,Hackney,http://www.rocketgallery.com/#,E09000012,56 Shoreditch High Street,NA,NA,10008304903,Hoxton East & Shoreditch,E05009377,533525.0001221001,182326.00012210011,-0.07510293960366142,51.52356280971235,11/27/2022
Hoxton Art Gallery,Hackney,http://www.hoxtonartgallery.co.uk/#,E09000012,64 Charlotte Road,NA,NA,10008317965,Hoxton East & Shoreditch,E05009377,533214.0001221001,182566.00012210011,-0.07949283424002247,51.525793244270155,11/27/2022
Galerie8,Hackney,http://www.galerie8.co.uk/#,E09000012,203 Richmond Road,NA,NA,10008325659,Hackney Central,E05009372,534827.0200805962,184532.7100829929,-0.055499462315294124,51.54308573640244,11/27/2022
The Proud Archivist,Hackney,http://www.theproudarchivist.co.uk/#,E09000012,"The Archivist, Unit V Reliance Wharf",2-10 Hertford Road,NA,10008329599,De Beauvoir,E05009371,533346.5001221001,183789.0601195991,-0.0771205687900491,51.53675408647767,11/27/2022
Charlie Smith,Hackney,http://charliesmithlondon.com/#,E09000012,336 Old Street,NA,NA,10008336390,Hoxton East & Shoreditch,E05009377,533188.0001221001,182597.00012210011,-0.07985571909056487,51.526077987760736,11/27/2022
Unit G Gallery,Hackney,http://unitg.london/gallery/#,E09000012,12A Collent Street,NA,NA,10008339282,Homerton,E05009376,535481.7200927958,184600.34008789808,-0.04603710862978828,51.543536729768526,11/27/2022
BSMT Space,Hackney,http://www.bsmt.co.uk/#,E09000012,5d Stoke Newington Road,NA,NA,10008342181,Shacklewell,E05009382,533536.0001221001,185298.00012210011,-0.0738169106633579,51.55027066360324,11/27/2022
