name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,ward,latitude,longitude,contact_name,additional_contact_name,easting,northing,runtime
Cresswood Tenants Hall,215 Queen'S Crescent,Camden,NA,Camden,,5003376,E09000007,Gospel Oak,E05000134,E05000134,51.55069283816388,-0.14692315558675018,,,528467.0001221001,185214.00012210011,11/20/2022
Sparrow Farm Community Centre,Sparrow Farm Drive,Hounslow,NA,Hounslow,,10090800595,E09000018,Feltham North,E05000351,E05000351,51.4515909656798,-0.395470490978132,,,511478.8001098931,173787.20007319748,11/20/2022
Grassroots Community Centre,Memorial Avenue,Newham,NA,Newham,,10023998843,E09000025,Canning Town North,E05000477,E05000477,51.526440689278594,0.010103674183587525,,,539426.2301024944,182804.93011479825,11/20/2022
Slade Centre,Erindale,Greenwich,NA,Greenwich,http://www.glyndon.org.uk/slade.htm,100023243258,E09000011,Shooters Hill,E05000227,E05000227,51.478260367111,0.08665909241179041,,,544888.5601195991,177596.57012939453,11/20/2022
The Eagle Community Centre,52 Tamworth Road,Croydon,NA,Croydon,,100022902578,E09000008,Broad Green,E05000149,E05011468,51.37374398241961,-0.10368260097368151,,,531974.0001221001,165616.00012210011,11/20/2022
Bayham Place Tenants Association Hall,Bayham Place,NA,NA,Camden,,5109352,E09000007,St. Pancras and Somers Town,E05000143,E05000143,51.535595638311705,-0.1357545952263414,,,529284.0001221001,183555.00012210011,11/20/2022
The Sundial Centre,Sundial Centre,11 Shipton Street,London,Tower Hamlets,,6150974,E09000030,Weavers,E05009335,E05009335,51.52963456576429,-0.06860330927453444,,,533958.0001221001,183013.00012210011,11/20/2022
Sycamore Community Hall,27 West End Lane,Camden,NA,Camden,,5084701,E09000007,Kilburn,E05000140,E05000140,51.53920225611341,-0.19032428997209846,,,525490.0001221001,183861.00012210011,11/20/2022
Woodheyes,34 Woodheyes Road, London,NA,Brent,,202029222,E09000005,Stonebridge,E05000100,E05000100,51.55084099865548,-0.255109297580561,Robert Johnson,,520967.0001221001,185046.00012210011,11/20/2022
Hawthorn Community Hall,Hawthorn Crescent,Wandsworth,NA,Wandsworth,,121030851,E09000032,Graveney,E05000616,E05000616,51.42469914340906,-0.15759258489974173,,,528080.0001221001,171186.00012210011,11/20/2022
Beethoven Centre,Third Avenue,City Of Westminster,NA,Westminster,https://a2dominion.co.uk/beethovencentre,200002816387,E09000033,Queen's Park,E05000642,E05000642,51.53052246606497,-0.20723621951629864,Fiona Doherty,,524341.0001221001,182867.00012210011,11/20/2022
The Honeywell Centre,26 Wraysbury Drive,NA,NA,Hillingdon,https://www.a2dominion.co.uk/locations/The-Honeywell-Centre-West-Drayton,10090330845,E09000017,Yiewsley,E05000345,E05000345,51.51298351047371,-0.4761586145583615,,,505731.0001221001,180494.00012210011,11/20/2022
Woodgrange Community Centre,Bluebell Avenue,Newham,NA,Newham,,10008997939,E09000025,Manor Park,E05000488,E05000488,51.54796077857639,0.048712988148905935,,,542037.0001221001,185272.00012210011,11/20/2022
Havelock Centre Southall,17 Trubshaw Road, Southall,NA,Ealing,https://www.a2dominion.co.uk/locations/Havelock-Centre-Southall,12148842,E09000009,Norwood Green,E05000186,E05000186,51.5008209241457,-0.3643868226193756,,,513516.0001221001,179309.00012210011,11/20/2022
Meadows Community Centre,90 Wise Lane, West Drayton,NA,Hillingdon,https://www.chg.org.uk/residents/supporting-communities/our-community-centres/,200002815540,E09000017,West Drayton,E05000342,E05000342,51.49743217964933,-0.47669177609342445,Samuel Rowe,,505730.0001221001,178764.00012210011,11/20/2022
Unity Centre,103 Church Road, London,NA,Brent,http://www.unitycentre.org.uk,202146192,E09000005,Harlesden,E05000091,E05000091,51.54384221338124,-0.2519587501092626,,,521204.0001221001,184273.00012210011,11/20/2022
Friary Park Community Centre,Joseph Ave, Friary Park, Acton,Ealing,https://www.chg.org.uk/residents/supporting-communities/our-community-centres/,12157376,E09000009,Acton Central,E05000170,E05000170,51.51580395846753,-0.26185416486591656,Samuel Rowe,,520592.0001221001,181139.00012210011,11/20/2022
Jasmine Community Centre,Jasmine Close, 88A Lancaster Road, Southall,Ealing,https://www.chg.org.uk/residents/supporting-communities/our-community-centres/,12142322,E09000009,Southall Broadway,E05000189,E05000189,51.514770328620564,-0.3819477976560777,Samuel Rowe,,512263.0001221001,180833.00012210011,11/20/2022
Godwin & Crowndale Community Hall,Crowndale Road,Camden,NA,Camden,,5110721,E09000007,St. Pancras and Somers Town,E05000143,E05000143,51.5343117434906,-0.1336295628084209,,,529435.0001221001,183416.00012210011,11/20/2022
