name,address1,address2,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address3,longitude,latitude,easting,northing,runtime
Rose Theatre,24-26 High Street,,Kingston upon Thames,http://www.rosetheatrekingston.org,128029778,E09000021,Grove,E05000408,,-0.30759420135686405,51.40864310437742,517584.295137267,169204.2564966422,11/27/2022
Greenwich Theatre,3 Crooms Hill,,Greenwich,,10010200382,E09000011,Greenwich West,E05000222,,-0.007621807575506635,51.47946415067321,538226.8760123327,177602.30699869693,11/27/2022
Alexandra Palace,33 Alexandra Palace Way,,Haringey,http://www.alexandrapalace.com,10003974918,E09000014,Alexandra,E05000266,,-0.13050142940269552,51.59448347351189,529369.6876913166,190165.16346601653,11/27/2022
Apollo Victoria Theatre,17 Wilton Rd,,City of Westminster,http://www.apollovictoriatheatre.org/about-us/,100023340605,E09000033,Warwick,E05000647,,-0.14265442390651825,51.49577575884147,528806.8273760999,179169.36074308137,11/27/2022
The Arc Theatre,14 Austin Friars,,City and County of the City of London,http://www.arctheatre.com,95513019,E09000001,Broad Street,E05009295,,-0.08566234443244888,51.515929805308474,532703.2762608258,181512.00214289053,11/27/2022
Barbican Centre Theatre,1C Silk St,,City and County of the City of London,http://www.barbican.org.uk,95512045,E09000001,Cripplegate,E05009302,,-0.09410684626769471,51.51996230660304,532105.8421860349,181945.04630478157,11/27/2022
Barons Court Theatre,28a Comeragh Road,,Hammersmith and Fulham,http://www.offwestend.com/index.php/theatres/view/42,34128758,E09000013,North End,E05000258,,-0.20949081488484225,51.48943219347189,524185.82879858965,178348.4635537968,11/27/2022
Bloomsbury Theatre,15 Gordon Street,,Camden,https://www.doylecollection.com/hotels/the-bloomsbury-hotel?utm_source=google&utm_ca,5007085,E09000007,Bloomsbury,E05000129,,-0.13275478855025438,51.52506973057769,529410.749327312,182443.75552214705,11/27/2022
Brady Arts & Community Centre,192-196 Hanbury Street,,Tower Hamlets,http://www.towerhamletsarts.org.uk/?s=3&v=15&guide=AllAges,6011121,E09000030,Spitalfields & Banglatown,E05009333,,-0.06536854289329683,51.51941798875198,534100.7210158528,181936.81199790363,11/27/2022
Bread and Roses,68 Clapham Manor St,,Lambeth,https://www.breadandrosestheatre.co.uk,100021824058,E09000022,Clapham Town,E05000419,,-0.1365403514061712,51.465868049389755,529315.8125086711,175855.04662201047,11/27/2022
