name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
She Bar,23a Old Compton Street,Soho,,City of Westminster,http://she-soho.com,,E09000033,West End,E05000649,-0.132482839548698,51.51371521602699,529461.8209242166,181181.83645249432,11/27/2022
Circa,62 Frith Street,Soho,,City of Westminster,http://www.circasoho.com/biography/,,E09000033,West End,E05000649,-0.13384934218084063,51.514833946844114,529363.8566849069,181303.79819131357,11/27/2022
Queen Adelaide of Cambridge Heath ,483 Hackney Road,Bethnal Green,,Tower Hamlets,https://www.thequeenadelaide.com,,E09000030,St. Peter's,E05009331,-0.0603703564161715,51.53307229398471,534407.164978663,183464.02774430235,11/27/2022
The Cock Tavern ,"340 Kennington Road
",,,Lambeth,,,E09000022,Oval,E05000426,-0.11163793035359745,51.48640229488746,530986.1541947204,178182.31955207099,11/27/2022
The Apple Tree ,45 Mount Pleasant,,,Camden,,,E09000007,Holborn and Covent Garden,E05000138,-0.11203236194647426,51.52348809748652,530852.4236485437,182304.80467277468,11/27/2022
Rose and Crown ,1 Crooms Hill,Greenwich,,Greenwich,,,E09000011,Greenwich West,E05000222,-0.009305334709248724,51.47922821875077,538110.7214768984,177572.89603144693,11/27/2022
Ted's Place,305a North End Road,Fulham,,Hammersmith and Fulham,http://www.tedsplaceuk.co.uk,,E09000013,North End,E05000258,-0.20414000370529242,51.48640268031557,524565.4768954545,178020.74188441725,11/27/2022
West 5 ,Popes Lane,South Ealing,,Ealing,http://www.west5ealing.co.uk/contact.html,,E09000009,Ealing Common,E05000174,-0.30454612909318574,51.499297968411184,517562.8936625481,179288.1827323251,11/27/2022
Heaven,11 The Arches,Villiers Street,,City of Westminster,,,E09000033,St. James's,E05000644,-0.12570376600093672,51.50859872176009,529946.6452985648,180625.01120419393,11/27/2022
Rupert Street,50 Rupert Street,(Winnett St),,City of Westminster,http://www.rupert-street.com,,E09000033,West End,E05000649,-0.135104349001754,51.51268690589977,529282.8811429085,181062.86959358724,11/27/2022
Freedom,60-66 Wardour Street,Soho,,City of Westminster,http://freedombarsoho.com/,,E09000033,West End,E05000649,-0.13498556166988063,51.51332915733701,529289.3023032371,181134.4853255485,11/27/2022
Ku Soho,25 Frith Street,Soho,,City of Westminster,http://www.ku-bar.co.uk,,E09000033,West End,E05000649,-0.1326148000548941,51.513594174994545,529453.0102082968,181168.14540861477,11/27/2022
Union,66 Albert Embankment,,,Lambeth,http://www.clubunion.co.uk,,E09000022,Prince's,E05000427,-0.12531973807262844,51.48846919959006,530030.6021695258,178387.6996672862,11/27/2022
The George & Dragon,2 Blackheath Hill,,,Greenwich,http://www.georgedragon.com/,,E09000011,Greenwich West,E05000222,-0.016543764921481238,51.47336229871826,537625.8953520403,176907.09366331442,11/27/2022
Above the Stag Theatre,Arch 17,Miles Street,,Wandsworth,,,E09000032,Queenstown,E05000620,-0.12738216236727537,51.48312514008094,529902.6582986009,177789.8876733319,11/27/2022
Eagle London,349 Kennington Lane,,,Lambeth,,,E09000022,Prince's,E05000427,-0.12092690932289411,51.486717450403994,530340.4993145831,178200.76186299423,11/27/2022
Halfway to Heaven,7 Duncannon Street,,,City of Westminster,,,E09000033,St. James's,E05000644,-0.12799332995035484,51.50898596573801,529786.7010373917,180663.9980100394,11/27/2022
Retro Bar,2 George Court,,,City of Westminster,http://www.retrobarlondon.co.uk,,E09000033,St. James's,E05000644,-0.12518540607412454,51.50964246395583,529979.6356475252,180741.9760562175,11/27/2022
Ku Leicester Sq/ Klub,30 Lisle Street,,,City of Westminster,http://www.ku-bar.co.uk,,E09000033,West End,E05000649,-0.13146049587608277,51.51228723808455,529536.7926809015,181024.88457260822,11/27/2022
The Yard,57 Rupert Street,,,City of Westminster,http://yardbar.co.uk/about/,,E09000033,West End,E05000649,-0.13551528419921585,51.51250461595291,529254.8903964804,181041.87593774614,11/27/2022
