name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,alternativenames,greenflagcommunityaward,easting,northing,longitude,latitude,runtime
Southwark Park,Gomm Road,,,Southwark,https://www.southwark.gov.uk/parks-and-open-spaces/parks/southwark-park,,E09000028,Rotherhithe,E05011112,,,535021.7108764946,179134.26007079333,-0.054762076689755676,51.4945217732394,11/27/2022
Burgess Park ,150 Albany Rd,,,Southwark,,,E09000028,Faraday,E05011102,,,533174.1774901971,177867.6005248949,-0.08184099859925431,51.48357600110482,11/27/2022
Victoria Park ,Grove Rd,Bow,,Tower Hamlets,,,E09000030,Bow West,E05009320,,,536058.4359130934,183888.44012449682,-0.037999997873931525,51.53700000123327,11/27/2022
Gunnersbury Park,Popes Lane,Acton,,Hounslow,http://www.visitgunnersbury.org/visit/,,E09000018,Brentford,E05000347,,,518546.8356933966,179110.08209230006,-0.29199999820994027,51.498000001158424,11/27/2022
Brockwell Park,Norwood Rd,,,Lambeth,,,E09000022,Herne Hill,E05000423,,,531486.9694823995,174180.5560912937,-0.10750000066834076,51.450832999627224,11/27/2022
Crystal Palace Park ,42 Thicket Rd,,,Bromley,,,E09000006,Crystal Palace,E05000116,,,534146.866088897,170852.7135009989,-0.07049999870447451,51.42030000005863,11/27/2022
Dulwich Park ,Dulwich,,,Southwark,,,E09000028,Dulwich Village,E05011100,,,533499.9321288988,173678.8715209961,-0.0787339998216367,51.4458530005016,11/27/2022
Clapham Common ,Windmill Dr,,,Wandsworth,,,E09000032,Northcote,E05000619,,,528556.4967040941,174880.8272704929,-0.14939999815596577,51.45779999962899,11/27/2022
Hamstead Heath ,,,,Camden,,,E09000007,Highgate,E05000137,,,527475.953125,186255.45129399747,-0.16083299763731324,51.560278000642505,11/27/2022
Green Park ,,,,City of Westminster,,,E09000033,St. James's,E05000644,,,528827.873718299,180046.56512449682,-0.14361099961872667,51.504167000012544,11/27/2022
St. James's Park ,,,,City of Westminster,,,E09000033,St. James's,E05000644,,,529478.2098998949,179924.24792479724,-0.1342899999881165,51.50291900055846,11/27/2022
Greenwich Park ,Greenwich,,,Greenwich,,,E09000011,Greenwich West,E05000222,,,538885.6834716946,177254.26428219676,0.00013000161638051385,51.47668999948748,11/27/2022
Kensington Gardens,,,,City of Westminster,,,E09000033,Knightsbridge and Belgravia,E05000637,,,526275.0402831957,180322.34887699783,-0.18027799848061232,51.50722200059261,11/27/2022
Hyde Park ,,,,City of Westminster,,,E09000033,Knightsbridge and Belgravia,E05000637,,,527427.6405028999,180505.68267819285,-0.16361100057354822,51.50861100088465,11/27/2022
Regent's Park ,Chester Rd,,,City of Westminster,,,E09000033,Regent's Park,E05000643,,,527843.3068847954,183143.13049319386,-0.1566669988058189,51.53222200068443,11/27/2022
Battersea Park ,,,,Wandsworth,,,E09000032,Queenstown,E05000620,,,527947.5811156929,177257.57989499718,-0.1572999995401543,51.47930000068537,11/27/2022
Danson park ,Bexleyheath,,,Bexley,,,E09000004,Falconwood & Welling,E05011226,,,547199.780517593,175254.81549069285,0.11894518195065433,51.456619643856705,11/27/2022
